question,answer
What happened in Pittsburgh in 1845?,The Great Fire of Pittsburgh destroyed over a thousand buildings
Who started steel production in 1875 at the Edgar Thomson Steel Works?,Andrew Carnegie
When did J.P. Morgan and Elbert H. Gary merge several companies into U.S. Steel?,1901
What was Pittsburgh's population rank in the US by 1910?,eighth-largest city
How much steel did Pittsburgh mills produce for the World War II effort?,95 million tons
How many skyscrapers are there in Downtown Pittsburgh?,30
What is the tallest building in Pittsburgh?,U.S. Steel Tower
Which area in the East End is known as an open-air marketplace?,The Strip District
What is the nickname for the Bloomfield neighborhood?,Pittsburgh's Little Italy
What is the name of the amusement park in West Mifflin?,Kennywood
Who founded the first all-African American opera company in the U.S. in Pittsburgh?,Mary Cardwell Dawson
What is the name of the yearly pickle festival in Pittsburgh?,Picklesburgh
How many official city parks are there in Pittsburgh?,five
What is the name of Pittsburgh's professional baseball team?,Pittsburgh Pirates
Who developed one of the first successful polio vaccines at the University of Pittsburgh?,Jonas Salk
What project was launched after World War II to clean the city's air and rivers?,"the ""Renaissance"""
Which two rivers combine to form the Ohio River?,the Allegheny River and Monongahela River
"What is the name of the revitalization project that followed the ""Renaissance""?","the ""Renaissance II"" project"
The North Side was originally an independent city known as what?,Allegheny City
The University of Pittsburgh was established in what year?,1787
Which neighborhood is known as the hub of Jewish life in Pittsburgh?,Squirrel Hill
"Who wrote the play ""Fences"", which is set in Pittsburgh?",August Wilson
What is the Pittsburgh English dialect commonly called?,Pittsburghese
What term is used for locals who speak the Pittsburgh dialect?,Yinzers
Which museum is dedicated to the pop artist from Pittsburgh?,The Andy Warhol Museum
What is the name of the casino on the North Shore?,Rivers Casino
What are the official city colors shared by Pittsburgh's major professional sports teams?,black and gold
What is the name of the soccer team in Pittsburgh?,Pittsburgh Riverhounds
In what year was the Pittsburgh Post-Gazette started?,1786
Which university campus is located in the Point Breeze neighborhood?,Shady Side Academy maintains a PK–5 primary school campus in the Point Breeze neighborhood
"What is the name of the world's first commercially licensed radio station, located in Pittsburgh?",KDKA 1020 AM
"Which director shot nearly all his ""Living Dead"" series films in the Pittsburgh area?",George A. Romero
Which two large health care providers are based in the Pittsburgh area?,University of Pittsburgh Medical Center (UPMC) and Allegheny Health Network (AHN)
What is the Smithfield Street Bridge known for?,It was the world's first lenticular truss bridge.
What is the name of the regional mass transit system?,Pittsburgh Regional Transit
What is the area of Pittsburgh in square miles?,58.3 square miles
The convergence of the three rivers is located at which park?,Point State Park
Which neighborhood is home to the National Aviary?,North Side
"Which Pulitzer Prize-winning author wrote ""An American Childhood"" about post-war Pittsburgh?",Annie Dillard
What is the name of the popular sandwich shop known for including fries and coleslaw on the sandwich?,Primanti Bros.
How many sets of outdoor public stairways are in Pittsburgh?,800
What is the oldest extant structure in Pittsburgh?,Fort Pitt Block House
Who was the mayor of Pittsburgh as of November 2021?,Ed Gainey
What is the name of the main library system in Pittsburgh?,Carnegie Library of Pittsburgh
The Cathedral of Learning is located at which university?,University of Pittsburgh
Which park is the largest in Pittsburgh?,Frick Park
What is the name of the professional women's football team?,Pittsburgh Passion
Which museum is a Smithsonian affiliate and located in the Strip District?,Heinz History Center
What is the name of the botanical gardens in Pittsburgh?,Phipps Conservatory and Botanical Gardens
